mID,Date,RoomNumber,cID,ClassName,StartHour,EndHour,MeetingDurationMinutes,Year,Month
0,2020-09-10 07:00:00,769,9,A18,7,8,41,2020,09
1,2020-09-10 08:00:00,687,17,A18,8,9,41,2020,09
2,2020-09-10 09:00:00,348,5,A18,9,10,41,2020,09
3,2020-09-10 10:00:00,769,38,A18,10,11,41,2020,09
4,2020-09-10 07:00:00,687,1,A17,7,8,41,2020,09
5,2020-09-10 08:00:00,256,39,A17,8,9,41,2020,09
6,2020-09-10 07:00:00,361,3,A15,7,8,41,2020,09
7,2020-09-10 08:00:00,478,2,A15,8,9,41,2020,09
8,2020-09-10 09:00:00,687,15,A15,9,10,41,2020,09
9,2020-09-10 10:00:00,947,41,A15,10,11,41,2020,09
10,2020-09-10 07:00:00,779,10,A14,7,8,41,2020,09
11,2020-09-10 08:00:00,769,11,A14,8,9,41,2020,09
12,2020-09-10 09:00:00,779,42,A14,9,10,41,2020,09
13,2020-09-10 07:00:00,947,45,B17,7,8,41,2020,09
14,2020-09-10 08:00:00,348,1,B17,8,9,41,2020,09
15,2020-09-10 07:00:00,781,48,B14,7,8,41,2020,09
16,2020-09-10 09:00:00,478,11,B14,9,10,41,2020,09
17,2020-09-10 10:00:00,687,10,B14,10,11,41,2020,09
18,2020-09-10 07:00:00,348,8,C16,7,8,41,2020,09
19,2020-09-10 08:00:00,781,19,C16,8,9,41,2020,09
20,2020-09-10 09:00:00,769,52,C16,9,10,41,2020,09
21,2020-09-10 10:00:00,348,18,C16,10,11,41,2020,09
22,2020-09-10 11:00:00,687,4,C16,11,12,41,2020,09
23,2020-09-10 12:00:00,769,14,C16,12,13,41,2020,09
24,2020-09-10 13:00:00,348,16,C16,13,14,41,2020,09
25,2020-09-10 10:00:00,256,3,C15,10,11,41,2020,09
26,2020-09-10 11:00:00,781,15,C15,11,12,41,2020,09
27,2020-09-10 13:00:00,769,2,C15,13,14,41,2020,09
28,2020-09-10 14:00:00,769,53,C15,14,15,41,2020,09
29,2020-09-10 07:00:00,843,54,C14,7,8,41,2020,09
30,2020-09-10 11:00:00,256,11,C14,11,12,41,2020,09
31,2020-09-10 15:00:00,779,10,C14,15,16,41,2020,09
32,2020-09-11 07:00:00,947,9,A18,7,8,41,2020,09
33,2020-09-11 08:00:00,769,17,A18,8,9,41,2020,09
34,2020-09-11 09:00:00,478,5,A18,9,10,41,2020,09
35,2020-09-11 10:00:00,843,38,A18,10,11,41,2020,09
36,2020-09-11 07:00:00,478,1,A17,7,8,41,2020,09
37,2020-09-11 08:00:00,256,39,A17,8,9,41,2020,09
38,2020-09-11 07:00:00,781,3,A15,7,8,41,2020,09
39,2020-09-11 08:00:00,361,2,A15,8,9,41,2020,09
40,2020-09-11 09:00:00,256,15,A15,9,10,41,2020,09
41,2020-09-11 10:00:00,256,41,A15,10,11,41,2020,09
42,2020-09-11 07:00:00,779,10,A14,7,8,41,2020,09
43,2020-09-11 08:00:00,478,11,A14,8,9,41,2020,09
44,2020-09-11 09:00:00,781,42,A14,9,10,41,2020,09
45,2020-09-11 07:00:00,256,45,B17,7,8,41,2020,09
46,2020-09-11 08:00:00,843,1,B17,8,9,41,2020,09
47,2020-09-11 07:00:00,361,48,B14,7,8,41,2020,09
48,2020-09-11 09:00:00,348,11,B14,9,10,41,2020,09
49,2020-09-11 10:00:00,361,10,B14,10,11,41,2020,09
